Brand, Product_Name, Original_Price, Current_Price, Shipping
GIGABYTE,GIGABYTE Eagle GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060EAGLE OC-12GD (REV 2.0),$869.99 –,$869.99 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060TI-O8G-V2-GAMING,$1031.86 (2 Offers)–,$1031.86 (2 Offers)–,$24.00 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060GAMING OC-12GD (REV 2.0),$869.99 (2 Offers)–,$869.99 (2 Offers)–,Free Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,$846.44 (2 Offers)–,$846.44 (2 Offers)–,$45.00 Shipping
EVGA,EVGA GeForce RTX 3070 8GB XC3 ULTRA LHR GDDR6 GPU 08G-P5-3755-KL Video Conference Bundle,$1299.99 –,$1299.99 –,Free Shipping
ASUS,Asus DUAL-RTX3060-O12G Dual NVIDIA GeForce RTX 3060 12GB OC Edition Gaming GPU,$1039.00 –,$1039.00 –,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,$1390.94 (2 Offers)–,$1390.94 (2 Offers)–,$45.00 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3060 Ti Graphics Card 8GB 256-bit GDDR6 GV-N306TAORUS E-8GD (REV 2.0),$897.00 (3 Offers)–,$897.00 (3 Offers)–,Free Shipping
EVGA,EVGA GeForce RTX 3060 Ti 8GB FTW Ultra Gaming LHR GDDR6 Video Graphics Card GPU,$1999.98 –,$1999.98 –,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,$1397.48 (2 Offers)–,$1397.48 (2 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,$899.99 –,$899.99 –,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD,$1318.25 (4 Offers)–,$1318.25 (4 Offers)–,$10.00 Shipping
N/A,COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Vulcan OC LHR,$989.99 –,$989.99 –,Free Shipping
